order_id,order_date,ship_date,customer_id,product_id,quantity,sales,profit,discount,order_year,order_month,is_outlier
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,386,2,261.96,41.9136,0.0,2016,11,False
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,839,3,731.94,219.582,0.0,2016,11,True
CA-2016-138688,2016-06-12,2016-06-16,DV-13045,1433,2,14.62,6.8714,0.0,2016,6,False
US-2015-108966,2015-10-11,2015-10-18,SO-20335,366,5,957.5775,-383.031,0.45,2015,10,True
US-2015-108966,2015-10-11,2015-10-18,SO-20335,573,2,22.368,2.5164,0.2,2015,10,False
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,570,7,48.86,14.1694,0.0,2014,6,False
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,1129,4,7.28,1.9656,0.0,2014,6,False
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,1092,6,907.152,90.7152,0.2,2014,6,True
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,499,3,18.504,5.7825,0.2,2014,6,False
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,302,5,114.9,34.47,0.0,2014,6,False
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,427,9,1706.184,85.3092,0.2,2014,6,True
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,965,4,911.424,68.3568,0.2,2014,6,True
CA-2017-114412,2017-04-15,2017-04-20,AA-10480,1756,3,15.552,5.4432,0.2,2017,4,False
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,648,3,407.976,132.5922,0.2,2016,12,False
US-2015-118983,2015-11-22,2015-11-26,HP-14815,822,5,68.81,-123.858,0.8,2015,11,False
US-2015-118983,2015-11-22,2015-11-26,HP-14815,1512,3,2.544,-3.816,0.8,2015,11,False
CA-2014-105893,2014-11-11,2014-11-18,PK-19075,1518,6,665.88,13.3176,0.0,2014,11,True
CA-2014-167164,2014-05-13,2014-05-15,AG-10270,660,2,55.5,9.99,0.0,2014,5,False
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,1150,2,8.56,2.4824,0.0,2014,8,False
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,436,3,213.48,16.011,0.2,2014,8,False
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,1633,4,22.72,7.384,0.2,2014,8,False
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,1124,7,19.46,5.0596,0.0,2016,12,False
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,78,7,60.34,15.6884,0.0,2016,12,False
US-2017-156909,2017-07-16,2017-07-18,SF-20065,746,2,71.372,-1.0196,0.3,2017,7,False
CA-2015-106320,2015-09-25,2015-09-30,EB-13870,366,3,1044.63,240.2649,0.0,2015,9,True
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,1624,2,11.648,4.2224,0.2,2016,1,False
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,914,3,90.57,11.7741,0.0,2016,1,False
US-2015-150630,2015-09-17,2015-09-21,TB-21520,1351,7,3083.43,-1665.0522,0.5,2015,9,True
US-2015-150630,2015-09-17,2015-09-21,TB-21520,265,2,9.618,-7.0532,0.7,2015,9,False
US-2015-150630,2015-09-17,2015-09-21,TB-21520,881,3,124.2,15.525,0.2,2015,9,False
US-2015-150630,2015-09-17,2015-09-21,TB-21520,1284,2,3.264,1.1016,0.2,2015,9,False
US-2015-150630,2015-09-17,2015-09-21,TB-21520,279,6,86.304,9.7092,0.2,2015,9,False
US-2015-150630,2015-09-17,2015-09-21,TB-21520,73,6,6.858,-5.715,0.7,2015,9,False
US-2015-150630,2015-09-17,2015-09-21,TB-21520,1031,2,15.76,3.546,0.2,2015,9,False
CA-2017-107727,2017-10-19,2017-10-23,MA-17560,537,3,29.472,9.9468,0.2,2017,10,False
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,725,7,1097.544,123.4737,0.2,2016,12,True
CA-2016-117590,2016-12-08,2016-12-10,GH-14485,593,5,190.92,-147.963,0.6,2016,12,False
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,6,9,113.328,35.415,0.2,2015,12,False
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,167,3,532.3992,-46.9764,0.32,2015,12,True
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,752,3,212.058,-15.147,0.3,2015,12,False
CA-2015-117415,2015-12-27,2015-12-31,SN-20710,1273,4,371.168,41.7564,0.2,2015,12,False
CA-2017-120999,2017-09-10,2017-09-15,LC-16930,1244,4,147.168,16.5564,0.2,2017,9,False
CA-2016-101343,2016-07-17,2016-07-22,RA-19885,556,2,77.88,3.894,0.0,2016,7,False
